contexto,ordem,municipio,portal_oficial,url_informada,url_avaliada,status_validacao_browser,titulo,nota,praticas,aceitaveis,nao_aceitaveis,verificar_manual,json,pdf,erro,run_fonte,url_chave,host_chave,nota_num,avaliacao_utilizavel,tem_cloudflare,faixa_nota,tipo_entidade,municipio_chave
"mt","9","","","https://www.altogarcas.mt.gov.br/","https://www.altogarcas.mt.gov.br/","","","","","","","","","","API respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/aHR0cHM6Ly93d3cuYWx0b2dhcmNhcy5tdC5nb3YuYnIv"",""timestamp"":""2026-09-21T21:05:40.569Z"",""stack"":""Error: Invalid resource: QualWeb returned an empty report.\n    at Object.evaluate (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/qualweb.ts:64:13)\n    at async executeUrlEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/","17-04-38","altogarcas.mt.gov.br","altogarcas.mt.gov.br","0","Não","Não","<5","Prefeitura/Órgão Municipal","altogarcas"
"mt","11","","","https://www.altoparaguai.mt.gov.br/","https://www.altoparaguai.mt.gov.br/","","Página Inicial - Prefeitura de Alto Paraguai - MT","7.0","46","445","77","127","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.altoparaguai.mt.gov.br_011.json","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.altoparaguai.mt.gov.br_011.pdf","","17-04-38","altoparaguai.mt.gov.br","altoparaguai.mt.gov.br","7","Sim","Não","7-<8","Prefeitura/Órgão Municipal","altoparaguai"
"mt","15","","","https://www.apiacas.mt.gov.br/","https://www.apiacas.mt.gov.br/","","Página Inicial - Prefeitura de Apiacás Apiacás - MT","7.9","38","493","64","77","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.apiacas.mt.gov.br_015.json","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.apiacas.mt.gov.br_015.pdf","","17-04-38","apiacas.mt.gov.br","apiacas.mt.gov.br","7.9","Sim","Não","7-<8","Prefeitura/Órgão Municipal","apiacas"
"mt","14","","","https://www.altotaquari.mt.leg.br/","https://www.altotaquari.mt.leg.br/","","","","","","","","","","API respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/aHR0cHM6Ly93d3cuYWx0b3RhcXVhcmkubXQubGVnLmJyLw%3D%3D"",""timestamp"":""2026-09-21T21:06:11.697Z"",""stack"":""Error: Invalid resource: QualWeb returned an empty report.\n    at Object.evaluate (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/qualweb.ts:64:13)\n    at async executeUrlEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sit","17-04-38","altotaquari.mt.leg.br","altotaquari.mt.leg.br","0","Não","Não","<5","Câmara Municipal","altotaquari"
"mt","17","","","https://www.araguaiana.mt.gov.br/","https://www.araguaiana.mt.gov.br/","","","","","","","","","","API respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/aHR0cHM6Ly93d3cuYXJhZ3VhaWFuYS5tdC5nb3YuYnIv"",""timestamp"":""2026-09-21T21:06:19.520Z"",""stack"":""Error: Invalid resource: QualWeb returned an empty report.\n    at Object.evaluate (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/qualweb.ts:64:13)\n    at async executeUrlEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/","17-04-38","araguaiana.mt.gov.br","araguaiana.mt.gov.br","0","Não","Não","<5","Prefeitura/Órgão Municipal","araguaiana"
"mt","18","","","https://araguaiana.mt.leg.br/","https://araguaiana.mt.leg.br/","","","","","","","","","","API respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/aHR0cHM6Ly9hcmFndWFpYW5hLm10LmxlZy5ici8%3D"",""timestamp"":""2026-09-21T21:06:26.339Z"",""stack"":""Error: Invalid resource: QualWeb returned an empty report.\n    at Object.evaluate (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/qualweb.ts:64:13)\n    at async executeUrlEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/ac","17-04-38","araguaiana.mt.leg.br","araguaiana.mt.leg.br","0","Não","Não","<5","Câmara Municipal","araguaiana"
"mt","19","","","https://araguainha.mt.gov.br/","https://araguainha.mt.gov.br/","","Prefeitura Municipal de Araguainha – Prefeitura Municipal de Araguainha","8.4","39","494","30","23","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_araguainha.mt.gov.br_019.json","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_araguainha.mt.gov.br_019.pdf","","17-04-38","araguainha.mt.gov.br","araguainha.mt.gov.br","8.4","Sim","Não","8-<9","Prefeitura/Órgão Municipal","araguainha"
"mt","16","","","https://www.camaraapiacas.mt.gov.br/","https://www.camaraapiacas.mt.gov.br/","","Página Inicial - Câmara Apiacás","6.1","39","267","111","32","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.camaraapiacas.mt.gov.br_016.json","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.camaraapiacas.mt.gov.br_016.pdf","","17-04-38","camaraapiacas.mt.gov.br","camaraapiacas.mt.gov.br","6.1","Sim","Não","6-<7","Prefeitura/Órgão Municipal","camaraapiacas"
"mt","20","","","https://araguainha.mt.leg.br/","https://araguainha.mt.leg.br/","","","","","","","","","","API respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/aHR0cHM6Ly9hcmFndWFpbmhhLm10LmxlZy5ici8%3D"",""timestamp"":""2026-09-21T21:06:41.277Z"",""stack"":""Error: Invalid resource: QualWeb returned an empty report.\n    at Object.evaluate (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/qualweb.ts:64:13)\n    at async executeUrlEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/ac","17-04-38","araguainha.mt.leg.br","araguainha.mt.leg.br","0","Não","Não","<5","Câmara Municipal","araguainha"
"mt","21","","","https://araputanga.mt.gov.br/","https://araputanga.mt.gov.br/","","Prefeitura Municipal de Araputanga","5.9","30","194","126","50","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_araputanga.mt.gov.br_021.json","/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_araputanga.mt.gov.br_021.pdf","","17-04-38","araputanga.mt.gov.br","araputanga.mt.gov.br","5.9","Sim","Não","5-<6","Prefeitura/Órgão Municipal","araputanga"
