ordem,municipio_chave,tipo_entidade,url_amaweb,url_accessmonitor,correspondencia,status_amaweb,nota_amaweb,avaliacao_amaweb,tem_cloudflare_amaweb,status_accessmonitor,nota_accessmonitor,avaliacao_accessmonitor,tem_cloudflare_accessmonitor,diferenca_nota_amaweb_menos_accessmonitor,faixa_amaweb,faixa_accessmonitor,titulo_amaweb,titulo_accessmonitor,accessmonitor_run
"31","barradogarcas","Câmara Municipal","https://www.barradogarcas.mt.leg.br/","https://www.barradogarcas.mt.leg.br/","URL exata","Concluída","7.9","Sim","Não","Avaliado","7.1","Sim","Não","0.80","7-<8","7-<8","Página Inicial — Câmara Municipal de Barra do Garças","Página Inicial — Câmara Municipal de Barra do Garças","17-04-38"
"32","baraodemelgaco","Prefeitura/Órgão Municipal","https://www.baraodemelgaco.mt.gov.br/","https://www.baraodemelgaco.mt.gov.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"33","baraodemelgaco","Câmara Municipal","https://baraodemelgaco.mt.leg.br/","https://baraodemelgaco.mt.leg.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"34","boaesperancadonorte","Prefeitura/Órgão Municipal","https://www.boaesperancadonorte.mt.gov.br/","https://www.boaesperancadonorte.mt.gov.br/","URL exata","Concluída","","Não","Sim","Avaliado","","Não","Sim","","9-10","8-<9","Access denied | www.boaesperancadonorte.mt.gov.br used Cloudflare to restrict access | www.boaesperancadonorte.mt.gov.br | Cloudflare","Access denied | www.boaesperancadonorte.mt.gov.br used Cloudflare to restrict access | www.boaesperancadonorte.mt.gov.br | Cloudflare","17-04-38"
"35","bomjesusdoaraguaia","Prefeitura/Órgão Municipal","https://www.bomjesusdoaraguaia.mt.gov.br/","https://www.bomjesusdoaraguaia.mt.gov.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"36","camarabomjesusdoaraguaia","Prefeitura/Órgão Municipal","https://camarabomjesusdoaraguaia.mt.gov.br/","https://camarabomjesusdoaraguaia.mt.gov.br/","URL exata","Concluída","6.9","Sim","Não","Avaliado","6.7","Sim","Não","0.20","6-<7","6-<7","C&#226;mara Municipal de Bom Jesus do Araguaia","C&#226;mara Municipal de Bom Jesus do Araguaia","17-04-38"
"37","brasnorte","Prefeitura/Órgão Municipal","https://www.brasnorte.mt.gov.br/","https://www.brasnorte.mt.gov.br/","URL exata","Concluída","6.1","Sim","Não","Avaliado","5.3","Sim","Não","0.80","6-<7","5-<6","Página Principal Prefeitura Municipal de Brasnorte","Página Principal Prefeitura Municipal de Brasnorte","17-04-38"
"38","camarabrasnorte","Prefeitura/Órgão Municipal","https://www.camarabrasnorte.mt.gov.br/","https://www.camarabrasnorte.mt.gov.br/","URL exata","Concluída","8.8","Sim","Não","Avaliado","8.1","Sim","Não","0.70","8-<9","8-<9","Página Inicial - Câmara Municipal de Brasnorte - MT","Página Inicial - Câmara Municipal de Brasnorte - MT","17-04-38"
"39","campinapolis","Prefeitura/Órgão Municipal","https://www.campinapolis.mt.gov.br/#/home","https://www.campinapolis.mt.gov.br/#/home","URL exata","Concluída","7.7","Sim","Não","Avaliado","","Não","Não","","7-<8","<5","Prefeitura Municipal de Campinápolis - MT","","17-04-38"
"40","campinapolis","Câmara Municipal","https://www.campinapolis.mt.leg.br/","https://www.campinapolis.mt.leg.br/","URL exata","Concluída","8.2","Sim","Não","Avaliado","7.2","Sim","Não","1.00","8-<9","7-<8","Página Inicial — Câmara Municipal de Campinápolis","Página Inicial — Câmara Municipal de Campinápolis","17-04-38"
