ordem,url,titulo,nota,status,tentativas,json,pdf,url_chave,host_chave,nota_num,avaliacao_utilizavel,tem_cloudflare,faixa_nota,tipo_entidade,municipio_chave
"67","https://www.comodoro.mt.leg.br/","Página Inicial — Câmara Municipal de Comodoro","7.9","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.comodoro.mt.leg.br_067.json","saida_mt/2026-09-20/02-41-56/amaweb_www.comodoro.mt.leg.br_067.pdf","comodoro.mt.leg.br","comodoro.mt.leg.br","7.9","Sim","Não","7-<8","Câmara Municipal","comodoro"
"68","https://portal.cisax-mt.agilicloud.com.br/","ÁGILI Cidade Digital®","4.7","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_portal.cisax-mt.agilicloud.com.br_068.json","saida_mt/2026-09-20/02-41-56/amaweb_portal.cisax-mt.agilicloud.com.br_068.pdf","portal.cisax-mt.agilicloud.com.br","portal.cisax-mt.agilicloud.com.br","4.7","Sim","Não","<5","Outro/Consórcio",""
"69","https://www.confresa.org/","","8.2","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.confresa.org_069.json","saida_mt/2026-09-20/02-41-56/amaweb_www.confresa.org_069.pdf","confresa.org","confresa.org","8.2","Sim","Não","8-<9","Outro/Consórcio",""
"70","https://www.confresa.mt.leg.br/","","","Sem resultado AMAWeb","5","","","confresa.mt.leg.br","confresa.mt.leg.br","0","Não","Não","<5","Câmara Municipal","confresa"
"71","https://www.conquistadoeste.mt.gov.br/","Prefeitura Municipal de Conquista D'Oeste - MT","9.2","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.conquistadoeste.mt.gov.br_071.json","saida_mt/2026-09-20/02-41-56/amaweb_www.conquistadoeste.mt.gov.br_071.pdf","conquistadoeste.mt.gov.br","conquistadoeste.mt.gov.br","9.2","Sim","Não","9-10","Prefeitura/Órgão Municipal","conquistadoeste"
"72","https://www.conquistadoeste.mt.leg.br","Página Inicial — Câmara Municipal","8.1","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.conquistadoeste.mt.leg.br_072.json","saida_mt/2026-09-20/02-41-56/amaweb_www.conquistadoeste.mt.leg.br_072.pdf","conquistadoeste.mt.leg.br","conquistadoeste.mt.leg.br","8.1","Sim","Não","8-<9","Câmara Municipal","conquistadoeste"
"73","https://www.cotriguacu.mt.gov.br/","Access denied | www.cotriguacu.mt.gov.br used Cloudflare to restrict access | www.cotriguacu.mt.gov.br | Cloudflare","9.6","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.cotriguacu.mt.gov.br_073.json","saida_mt/2026-09-20/02-41-56/amaweb_www.cotriguacu.mt.gov.br_073.pdf","cotriguacu.mt.gov.br","cotriguacu.mt.gov.br","9.6","Não","Sim","9-10","Prefeitura/Órgão Municipal","cotriguacu"
"74","https://www.cotriguacu.mt.leg.br/","Página Inicial — Câmara Municipal de Cotriguaçu","8.4","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.cotriguacu.mt.leg.br_074.json","saida_mt/2026-09-20/02-41-56/amaweb_www.cotriguacu.mt.leg.br_074.pdf","cotriguacu.mt.leg.br","cotriguacu.mt.leg.br","8.4","Sim","Não","8-<9","Câmara Municipal","cotriguacu"
"75","https://www.consorciovaledoriocuiaba.com.br","Consórcio Vale do Rio Cuiabá – Consórcio Intermunicipal de Desenvolvimento Econômico e Social Vale do Rio Cuiabá","7.0","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.consorciovaledoriocuiaba.com.br_075.json","saida_mt/2026-09-20/02-41-56/amaweb_www.consorciovaledoriocuiaba.com.br_075.pdf","consorciovaledoriocuiaba.com.br","consorciovaledoriocuiaba.com.br","7","Sim","Não","7-<8","Outro/Consórcio",""
"76","https://www.cisvarc.com.br/","","","Sem resultado AMAWeb","5","","","cisvarc.com.br","cisvarc.com.br","0","Não","Não","<5","Outro/Consórcio",""
"77","https://www.consprev.com.br/","Página Inicial - Consórcio de CONSPREV","8.2","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.consprev.com.br_077.json","saida_mt/2026-09-20/02-41-56/amaweb_www.consprev.com.br_077.pdf","consprev.com.br","consprev.com.br","8.2","Sim","Não","8-<9","Outro/Consórcio",""
"78","https://www.defensoria.mt.def.br/dpmt/portal/","DPEMT - Home","7.0","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.defensoria.mt.def.br_078.json","saida_mt/2026-09-20/02-41-56/amaweb_www.defensoria.mt.def.br_078.pdf","defensoria.mt.def.br/dpmt/portal","defensoria.mt.def.br","7","Sim","Não","7-<8","Outro/Consórcio",""
"79","https://www.metamat.mt.gov.br/","METAMAT","10.0","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.metamat.mt.gov.br_079.json","saida_mt/2026-09-20/02-41-56/amaweb_www.metamat.mt.gov.br_079.pdf","metamat.mt.gov.br","metamat.mt.gov.br","10","Sim","Não","9-10","Prefeitura/Órgão Municipal","metamat"
"80","https://www.mti.mt.gov.br/","MTI","10.0","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.mti.mt.gov.br_080.json","saida_mt/2026-09-20/02-41-56/amaweb_www.mti.mt.gov.br_080.pdf","mti.mt.gov.br","mti.mt.gov.br","10","Sim","Não","9-10","Prefeitura/Órgão Municipal","mti"
"81","https://www.mtpar.mt.gov.br/","MTPAR | MT Participações e Projetos S.A | Avenida Dr. Hélio Ribeiro, Nº 525, Edifício Helbor Dual Business - 5º Andar. Cuiabá - Mato Grosso","8.2","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.mtpar.mt.gov.br_081.json","saida_mt/2026-09-20/02-41-56/amaweb_www.mtpar.mt.gov.br_081.pdf","mtpar.mt.gov.br","mtpar.mt.gov.br","8.2","Sim","Não","8-<9","Prefeitura/Órgão Municipal","mtpar"
"82","https://www.desenvolve.mt.gov.br/","Desenvolve MT | Desenvolve MT","6.9","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.desenvolve.mt.gov.br_082.json","saida_mt/2026-09-20/02-41-56/amaweb_www.desenvolve.mt.gov.br_082.pdf","desenvolve.mt.gov.br","desenvolve.mt.gov.br","6.9","Sim","Não","6-<7","Prefeitura/Órgão Municipal","desenvolve"
"83","https://mtgas.com.br/","MTGÁS Companhia Mato-grossense de Gás – R. Eng. Endereço: Rua Edgar Prado Arze, 297 – Centro Político Administrativo","7.4","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_mtgas.com.br_083.json","saida_mt/2026-09-20/02-41-56/amaweb_mtgas.com.br_083.pdf","mtgas.com.br","mtgas.com.br","7.4","Sim","Não","7-<8","Outro/Consórcio",""
"84","https://portal.mt.gov.br/","Portal do Governo de Mato Grosso","10.0","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_portal.mt.gov.br_084.json","saida_mt/2026-09-20/02-41-56/amaweb_portal.mt.gov.br_084.pdf","portal.mt.gov.br","portal.mt.gov.br","10","Sim","Não","9-10","Prefeitura/Órgão Municipal","portal"
"85","https://www.cuiaba.mt.gov.br/","Prefeitura de Cuiabá","8.0","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.cuiaba.mt.gov.br_085.json","saida_mt/2026-09-20/02-41-56/amaweb_www.cuiaba.mt.gov.br_085.pdf","cuiaba.mt.gov.br","cuiaba.mt.gov.br","8","Sim","Não","8-<9","Prefeitura/Órgão Municipal","cuiaba"
"86","https://www.tjmt.jus.br/","Poder Judiciário do Estado de Mato Grosso","9.9","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.tjmt.jus.br_086.json","saida_mt/2026-09-20/02-41-56/amaweb_www.tjmt.jus.br_086.pdf","tjmt.jus.br","tjmt.jus.br","9.9","Sim","Não","9-10","Outro/Consórcio",""
"87","https://www.al.mt.gov.br/","Assembleia Legislativa do Estado de Mato Grosso","8.6","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.al.mt.gov.br_087.json","saida_mt/2026-09-20/02-41-56/amaweb_www.al.mt.gov.br_087.pdf","al.mt.gov.br","al.mt.gov.br","8.6","Sim","Não","8-<9","Prefeitura/Órgão Municipal","al"
"88","https://www.camaracuiaba.mt.gov.br/","Câmara Municipal de Cuiabá","9.8","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.camaracuiaba.mt.gov.br_088.json","saida_mt/2026-09-20/02-41-56/amaweb_www.camaracuiaba.mt.gov.br_088.pdf","camaracuiaba.mt.gov.br","camaracuiaba.mt.gov.br","9.8","Sim","Não","9-10","Prefeitura/Órgão Municipal","camaracuiaba"
"89","https://www.mpmt.mp.br/","Ministério Público do Estado de Mato Grosso","6.0","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.mpmt.mp.br_089.json","saida_mt/2026-09-20/02-41-56/amaweb_www.mpmt.mp.br_089.pdf","mpmt.mp.br","mpmt.mp.br","6","Sim","Não","6-<7","Outro/Consórcio",""
"90","https://www.tce.mt.gov.br/","Portal do TCE-MT - Portal do TCE","9.5","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.tce.mt.gov.br_090.json","saida_mt/2026-09-20/02-41-56/amaweb_www.tce.mt.gov.br_090.pdf","tce.mt.gov.br","tce.mt.gov.br","9.5","Sim","Não","9-10","Prefeitura/Órgão Municipal","tce"
"91","https://www.curvelandia.mt.gov.br/","Access denied | www.curvelandia.mt.gov.br used Cloudflare to restrict access | www.curvelandia.mt.gov.br | Cloudflare","9.6","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.curvelandia.mt.gov.br_091.json","saida_mt/2026-09-20/02-41-56/amaweb_www.curvelandia.mt.gov.br_091.pdf","curvelandia.mt.gov.br","curvelandia.mt.gov.br","9.6","Não","Sim","9-10","Prefeitura/Órgão Municipal","curvelandia"
"92","https://curvelandia.mt.leg.br/","Access denied | curvelandia.mt.leg.br used Cloudflare to restrict access | curvelandia.mt.leg.br | Cloudflare","9.6","Concluída","2","saida_mt/2026-09-20/04-02-24/amaweb_curvelandia.mt.leg.br_019.json","saida_mt/2026-09-20/04-02-24/amaweb_curvelandia.mt.leg.br_019.pdf","curvelandia.mt.leg.br","curvelandia.mt.leg.br","9.6","Não","Sim","9-10","Câmara Municipal","curvelandia"
"93","https://www.caceres.mt.gov.br/","Página Inicial - Prefeitura Municipal de Cáceres","8.0","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.caceres.mt.gov.br_093.json","saida_mt/2026-09-20/02-41-56/amaweb_www.caceres.mt.gov.br_093.pdf","caceres.mt.gov.br","caceres.mt.gov.br","8","Sim","Não","8-<9","Prefeitura/Órgão Municipal","caceres"
"94","https://www.caceres.mt.leg.br/","Página Inicial — Câmara Municipal de Cáceres","8.4","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.caceres.mt.leg.br_094.json","saida_mt/2026-09-20/02-41-56/amaweb_www.caceres.mt.leg.br_094.pdf","caceres.mt.leg.br","caceres.mt.leg.br","8.4","Sim","Não","8-<9","Câmara Municipal","caceres"
"95","https://www.denise.mt.gov.br/","Access denied | www.denise.mt.gov.br used Cloudflare to restrict access | www.denise.mt.gov.br | Cloudflare","9.6","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.denise.mt.gov.br_095.json","saida_mt/2026-09-20/02-41-56/amaweb_www.denise.mt.gov.br_095.pdf","denise.mt.gov.br","denise.mt.gov.br","9.6","Não","Sim","9-10","Prefeitura/Órgão Municipal","denise"
"96","https://www.denise.mt.leg.br/","Câmara Municipal de Denise","6.3","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.denise.mt.leg.br_096.json","saida_mt/2026-09-20/02-41-56/amaweb_www.denise.mt.leg.br_096.pdf","denise.mt.leg.br","denise.mt.leg.br","6.3","Sim","Não","6-<7","Câmara Municipal","denise"
"97","https://www.ciscn.com.br/#/home","Consórcio Intermunicipal de Saúde Da Região Norte Matogrossense","5.1","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.ciscn.com.br_097.json","saida_mt/2026-09-20/02-41-56/amaweb_www.ciscn.com.br_097.pdf","ciscn.com.br/#/home","ciscn.com.br","5.1","Sim","Não","5-<6","Outro/Consórcio",""
"98","https://www.diamantino.mt.gov.br/","Página Principal - Prefeitura de Diamantino","7.2","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.diamantino.mt.gov.br_098.json","saida_mt/2026-09-20/02-41-56/amaweb_www.diamantino.mt.gov.br_098.pdf","diamantino.mt.gov.br","diamantino.mt.gov.br","7.2","Sim","Não","7-<8","Prefeitura/Órgão Municipal","diamantino"
"99","https://www.diamantino.mt.leg.br/","Página Inicial — Câmara Municipal de Diamantino","7.7","Concluída","2","saida_mt/2026-09-20/04-02-24/amaweb_www.diamantino.mt.leg.br_020.json","saida_mt/2026-09-20/04-02-24/amaweb_www.diamantino.mt.leg.br_020.pdf","diamantino.mt.leg.br","diamantino.mt.leg.br","7.7","Sim","Não","7-<8","Câmara Municipal","diamantino"
"100","https://www.domaquino.mt.gov.br/","Prefeitura Municipal de Dom Aquino","6.8","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.domaquino.mt.gov.br_100.json","saida_mt/2026-09-20/02-41-56/amaweb_www.domaquino.mt.gov.br_100.pdf","domaquino.mt.gov.br","domaquino.mt.gov.br","6.8","Sim","Não","6-<7","Prefeitura/Órgão Municipal","domaquino"
"101","https://domaquino.oxy.elotech.com.br/portaltransparencia/3/","Portal Transparência","6.0","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_domaquino.oxy.elotech.com.br_101.json","saida_mt/2026-09-20/02-41-56/amaweb_domaquino.oxy.elotech.com.br_101.pdf","domaquino.oxy.elotech.com.br/portaltransparencia/3","domaquino.oxy.elotech.com.br","6","Sim","Não","6-<7","Outro/Consórcio",""
"102","https://www.feliznatal.mt.gov.br/home","Prefeitura de Feliz Natal","6.3","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.feliznatal.mt.gov.br_102.json","saida_mt/2026-09-20/02-41-56/amaweb_www.feliznatal.mt.gov.br_102.pdf","feliznatal.mt.gov.br/home","feliznatal.mt.gov.br","6.3","Sim","Não","6-<7","Prefeitura/Órgão Municipal","feliznatal"
"103","https://www.feliznatal.mt.leg.br/","Home — Câmara Municipal de Feliz Natal","8.5","Concluída","2","saida_mt/2026-09-20/04-02-24/amaweb_www.feliznatal.mt.leg.br_021.json","saida_mt/2026-09-20/04-02-24/amaweb_www.feliznatal.mt.leg.br_021.pdf","feliznatal.mt.leg.br","feliznatal.mt.leg.br","8.5","Sim","Não","8-<9","Câmara Municipal","feliznatal"
"104","https://figueiropolisdoeste.mt.gov.br/","Prefeitura Municipal de Figueirópolis d' Oeste-MT","6.6","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_figueiropolisdoeste.mt.gov.br_104.json","saida_mt/2026-09-20/02-41-56/amaweb_figueiropolisdoeste.mt.gov.br_104.pdf","figueiropolisdoeste.mt.gov.br","figueiropolisdoeste.mt.gov.br","6.6","Sim","Não","6-<7","Prefeitura/Órgão Municipal","figueiropolisdoeste"
"105","https://figueiropolisdoeste.mt.leg.br/","Access denied | figueiropolisdoeste.mt.leg.br used Cloudflare to restrict access | figueiropolisdoeste.mt.leg.br | Cloudflare","9.6","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_figueiropolisdoeste.mt.leg.br_105.json","saida_mt/2026-09-20/02-41-56/amaweb_figueiropolisdoeste.mt.leg.br_105.pdf","figueiropolisdoeste.mt.leg.br","figueiropolisdoeste.mt.leg.br","9.6","Não","Sim","9-10","Câmara Municipal","figueiropolisdoeste"
"106","https://www.gauchadonorte.mt.gov.br/","Prefeitura Municipal de Gaúcha do Norte MT","8.0","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.gauchadonorte.mt.gov.br_106.json","saida_mt/2026-09-20/02-41-56/amaweb_www.gauchadonorte.mt.gov.br_106.pdf","gauchadonorte.mt.gov.br","gauchadonorte.mt.gov.br","8","Sim","Não","8-<9","Prefeitura/Órgão Municipal","gauchadonorte"
"107","https://www.gauchadonorte.mt.leg.br/","Câmara de Vereadores de Gaúcha do Norte","7.9","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.gauchadonorte.mt.leg.br_107.json","saida_mt/2026-09-20/02-41-56/amaweb_www.gauchadonorte.mt.leg.br_107.pdf","gauchadonorte.mt.leg.br","gauchadonorte.mt.leg.br","7.9","Sim","Não","7-<8","Câmara Municipal","gauchadonorte"
"108","https://www.generalcarneiro.mt.gov.br/","","","Sem resultado AMAWeb","5","","","generalcarneiro.mt.gov.br","generalcarneiro.mt.gov.br","0","Não","Não","<5","Prefeitura/Órgão Municipal","generalcarneiro"
"109","http://www.camarageneralcarneiro.mt.gov.br/","Câmara Municipal de General Carneiro – MT – A casa do povo Generalcarneirense","8.5","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.camarageneralcarneiro.mt.gov.br_109.json","saida_mt/2026-09-20/02-41-56/amaweb_www.camarageneralcarneiro.mt.gov.br_109.pdf","camarageneralcarneiro.mt.gov.br","camarageneralcarneiro.mt.gov.br","8.5","Sim","Não","8-<9","Prefeitura/Órgão Municipal","camarageneralcarneiro"
"110","https://www.gloriadoeste.mt.gov.br/","Access denied | www.gloriadoeste.mt.gov.br used Cloudflare to restrict access | www.gloriadoeste.mt.gov.br | Cloudflare","9.6","Concluída","4","saida_mt/2026-09-20/04-42-35/amaweb_www.gloriadoeste.mt.gov.br_019.json","saida_mt/2026-09-20/04-42-35/amaweb_www.gloriadoeste.mt.gov.br_019.pdf","gloriadoeste.mt.gov.br","gloriadoeste.mt.gov.br","9.6","Não","Sim","9-10","Prefeitura/Órgão Municipal","gloriadoeste"
"111","https://www.gloriadoeste.mt.leg.br/","Access denied | www.gloriadoeste.mt.leg.br used Cloudflare to restrict access | www.gloriadoeste.mt.leg.br | Cloudflare","9.6","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.gloriadoeste.mt.leg.br_111.json","saida_mt/2026-09-20/02-41-56/amaweb_www.gloriadoeste.mt.leg.br_111.pdf","gloriadoeste.mt.leg.br","gloriadoeste.mt.leg.br","9.6","Não","Sim","9-10","Câmara Municipal","gloriadoeste"
"112","https://www.guarantadonorte.mt.gov.br/","Página Inicial - Prefeitura de Guarantã do Norte - MT","8.2","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.guarantadonorte.mt.gov.br_112.json","saida_mt/2026-09-20/02-41-56/amaweb_www.guarantadonorte.mt.gov.br_112.pdf","guarantadonorte.mt.gov.br","guarantadonorte.mt.gov.br","8.2","Sim","Não","8-<9","Prefeitura/Órgão Municipal","guarantadonorte"
"113","https://camaraguarantadonorte.mt.gov.br","","","Sem resultado AMAWeb","5","","","camaraguarantadonorte.mt.gov.br","camaraguarantadonorte.mt.gov.br","0","Não","Não","<5","Prefeitura/Órgão Municipal","camaraguarantadonorte"
"114","https://guiratinga.mt.gov.br/","Página Inicial - Prefeitura de Guiratinga - MT","8.2","Concluída","2","saida_mt/2026-09-20/04-02-24/amaweb_guiratinga.mt.gov.br_025.json","saida_mt/2026-09-20/04-02-24/amaweb_guiratinga.mt.gov.br_025.pdf","guiratinga.mt.gov.br","guiratinga.mt.gov.br","8.2","Sim","Não","8-<9","Prefeitura/Órgão Municipal","guiratinga"
"115","https://www.guiratinga.mt.leg.br/","Página Inicial — Câmara Municipal","7.7","Concluída","2","saida_mt/2026-09-20/04-02-24/amaweb_www.guiratinga.mt.leg.br_026.json","saida_mt/2026-09-20/04-02-24/amaweb_www.guiratinga.mt.leg.br_026.pdf","guiratinga.mt.leg.br","guiratinga.mt.leg.br","7.7","Sim","Não","7-<8","Câmara Municipal","guiratinga"
"116","https://www.indiavai.mt.gov.br/","","","Sem resultado AMAWeb","5","","","indiavai.mt.gov.br","indiavai.mt.gov.br","0","Não","Não","<5","Prefeitura/Órgão Municipal","indiavai"
"117","https://indiavai.mt.leg.br/","","","Sem resultado AMAWeb","5","","","indiavai.mt.leg.br","indiavai.mt.leg.br","0","Não","Não","<5","Câmara Municipal","indiavai"
"118","https://www.ipirangadonorte.mt.gov.br","Página Inicial - Prefeitura Municipal de Ipiranga do Norte","7.4","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.ipirangadonorte.mt.gov.br_118.json","saida_mt/2026-09-20/02-41-56/amaweb_www.ipirangadonorte.mt.gov.br_118.pdf","ipirangadonorte.mt.gov.br","ipirangadonorte.mt.gov.br","7.4","Sim","Não","7-<8","Prefeitura/Órgão Municipal","ipirangadonorte"
"119","https://www.ipirangadonorte.mt.leg.br/","Câmara Municipal de Ipiranga do Norte/MT — Câmara Municipal de Ipiranga do Norte","7.5","Concluída","2","saida_mt/2026-09-20/04-02-24/amaweb_www.ipirangadonorte.mt.leg.br_029.json","saida_mt/2026-09-20/04-02-24/amaweb_www.ipirangadonorte.mt.leg.br_029.pdf","ipirangadonorte.mt.leg.br","ipirangadonorte.mt.leg.br","7.5","Sim","Não","7-<8","Câmara Municipal","ipirangadonorte"
"120","https://www.itanhanga.mt.gov.br/#/home","Prefeitura Municipal de Itanhangá","7.0","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.itanhanga.mt.gov.br_120.json","saida_mt/2026-09-20/02-41-56/amaweb_www.itanhanga.mt.gov.br_120.pdf","itanhanga.mt.gov.br/#/home","itanhanga.mt.gov.br","7","Sim","Não","7-<8","Prefeitura/Órgão Municipal","itanhanga"
"121","https://www.camaraitanhanga.mt.gov.br/","Página Inicial - Câmara Municipal de Itanhangá - MT","8.5","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.camaraitanhanga.mt.gov.br_121.json","saida_mt/2026-09-20/02-41-56/amaweb_www.camaraitanhanga.mt.gov.br_121.pdf","camaraitanhanga.mt.gov.br","camaraitanhanga.mt.gov.br","8.5","Sim","Não","8-<9","Prefeitura/Órgão Municipal","camaraitanhanga"
"122","https://www.itauba.mt.gov.br/","Página Inicial - Prefeitura de Itaúba - MT","7.9","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.itauba.mt.gov.br_122.json","saida_mt/2026-09-20/02-41-56/amaweb_www.itauba.mt.gov.br_122.pdf","itauba.mt.gov.br","itauba.mt.gov.br","7.9","Sim","Não","7-<8","Prefeitura/Órgão Municipal","itauba"
"123","https://www.camaraitauba.mt.gov.br/","Página Inicial - Câmara Municipal de Itaúba - MT","8.3","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.camaraitauba.mt.gov.br_123.json","saida_mt/2026-09-20/02-41-56/amaweb_www.camaraitauba.mt.gov.br_123.pdf","camaraitauba.mt.gov.br","camaraitauba.mt.gov.br","8.3","Sim","Não","8-<9","Prefeitura/Órgão Municipal","camaraitauba"
"124","https://www.itiquira.mt.gov.br/","Prefeitura de Itiquira - MT","6.6","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.itiquira.mt.gov.br_124.json","saida_mt/2026-09-20/02-41-56/amaweb_www.itiquira.mt.gov.br_124.pdf","itiquira.mt.gov.br","itiquira.mt.gov.br","6.6","Sim","Não","6-<7","Prefeitura/Órgão Municipal","itiquira"
"125","https://www.itiquira.mt.leg.br/","Câmara Municipal de Itiquira | Poder Legislativo","7.0","Concluída","2","saida_mt/2026-09-20/04-02-24/amaweb_www.itiquira.mt.leg.br_030.json","saida_mt/2026-09-20/04-02-24/amaweb_www.itiquira.mt.leg.br_030.pdf","itiquira.mt.leg.br","itiquira.mt.leg.br","7","Sim","Não","7-<8","Câmara Municipal","itiquira"
"126","https://www.jaciara.mt.gov.br/","Governo de Jaciara - Poder Executivo","8.1","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.jaciara.mt.gov.br_126.json","saida_mt/2026-09-20/02-41-56/amaweb_www.jaciara.mt.gov.br_126.pdf","jaciara.mt.gov.br","jaciara.mt.gov.br","8.1","Sim","Não","8-<9","Prefeitura/Órgão Municipal","jaciara"
"127","https://www.camarajaciara.mt.gov.br/","Câmara Municipal de Jaciara","5.7","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.camarajaciara.mt.gov.br_127.json","saida_mt/2026-09-20/02-41-56/amaweb_www.camarajaciara.mt.gov.br_127.pdf","camarajaciara.mt.gov.br","camarajaciara.mt.gov.br","5.7","Sim","Não","5-<6","Prefeitura/Órgão Municipal","camarajaciara"
"128","https://jangada.mt.gov.br/","Página Inicial - Prefeitura de Jangada - MT","9.3","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_jangada.mt.gov.br_128.json","saida_mt/2026-09-20/02-41-56/amaweb_jangada.mt.gov.br_128.pdf","jangada.mt.gov.br","jangada.mt.gov.br","9.3","Sim","Não","9-10","Prefeitura/Órgão Municipal","jangada"
"129","https://jangada.mt.leg.br/","","","Sem resultado AMAWeb","5","","","jangada.mt.leg.br","jangada.mt.leg.br","0","Não","Não","<5","Câmara Municipal","jangada"
"130","https://www.jauru.mt.gov.br/",":: Prefeitura Municipal de Jauru - www.Jauru.mt.gov.br","6.6","Concluída","2","saida_mt/2026-09-20/04-02-24/amaweb_www.jauru.mt.gov.br_032.json","saida_mt/2026-09-20/04-02-24/amaweb_www.jauru.mt.gov.br_032.pdf","jauru.mt.gov.br","jauru.mt.gov.br","6.6","Sim","Não","6-<7","Prefeitura/Órgão Municipal","jauru"
"131","https://www.camarajauru.mt.gov.br/","","","Sem resultado AMAWeb","5","","","camarajauru.mt.gov.br","camarajauru.mt.gov.br","0","Não","Não","<5","Prefeitura/Órgão Municipal","camarajauru"
"132","https://cindvale.com.br","Access denied | cindvale.com.br used Cloudflare to restrict access | cindvale.com.br | Cloudflare","9.6","Concluída","2","saida_mt/2026-09-20/04-02-24/amaweb_cindvale.com.br_034.json","saida_mt/2026-09-20/04-02-24/amaweb_cindvale.com.br_034.pdf","cindvale.com.br","cindvale.com.br","9.6","Não","Sim","9-10","Outro/Consórcio",""
"133","https://www.cisva.com.br/#/home","Cisva","7.3","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.cisva.com.br_133.json","saida_mt/2026-09-20/02-41-56/amaweb_www.cisva.com.br_133.pdf","cisva.com.br/#/home","cisva.com.br","7.3","Sim","Não","7-<8","Outro/Consórcio",""
"134","https://juara.mt.gov.br/#/home","Juara - MT","6.8","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_juara.mt.gov.br_134.json","saida_mt/2026-09-20/02-41-56/amaweb_juara.mt.gov.br_134.pdf","juara.mt.gov.br/#/home","juara.mt.gov.br","6.8","Sim","Não","6-<7","Prefeitura/Órgão Municipal","juara"
"135","https://www.juara.mt.leg.br/","Poder Legislativo — PODER LEGISLATIVO","7.8","Concluída","2","saida_mt/2026-09-20/04-02-24/amaweb_www.juara.mt.leg.br_035.json","saida_mt/2026-09-20/04-02-24/amaweb_www.juara.mt.leg.br_035.pdf","juara.mt.leg.br","juara.mt.leg.br","7.8","Sim","Não","7-<8","Câmara Municipal","juara"
"136","https://www.juruena.mt.gov.br/","Access denied | www.juruena.mt.gov.br used Cloudflare to restrict access | www.juruena.mt.gov.br | Cloudflare","9.6","Concluída","1","saida_mt/2026-09-20/02-41-56/amaweb_www.juruena.mt.gov.br_136.json","saida_mt/2026-09-20/02-41-56/amaweb_www.juruena.mt.gov.br_136.pdf","juruena.mt.gov.br","juruena.mt.gov.br","9.6","Não","Sim","9-10","Prefeitura/Órgão Municipal","juruena"
